Blog	four	looking	second	music	until	example	want	feature	wrong	easier	series	wasn	service	needed	project	tech	came	saying	than	best	lots	asked	much	pro	life	worked	things	had	possible	right	old	people	support	happy	inside	later	time	team	current	love	red	working	awesome	such	data	years	didn	internet	quite	open	city	future	san	turned	say	note	take	ways	going	where	jobs	screen	many	photos	single	technology	summer	being	around	traffic	world	power	favorite	her	gone	ad	am	original	tv	small	past	full	hours	pick	action	via	company	states	information	its	always	found	week	really	research	major	number	also	play	sometimes	microsoft	set	see	last	whole	recent	person	couple	d	continue	anything	into	link	line	posted	us	facebook	ago	age	having	results	try	video	let	great	makes	tools	next	process	high	allow	move	doing	could	system	lot	device	face	fact	should	hope	means	stuff	email	co	ve	site	vs	android	off	web	five	become	does	details	chance	announced	told	employees	work	provide	after	order	office	then	them	network	do	away	com	easy	air	hand	photo	thanks	night	security	comments	marketing	post	months	way	true	update	together	cost	change	usually	live	write	product	remember	still	non	year	happen	space	shows	care	couldn	mostly	online	price	america	]	only	between	article	comes	these	media	ceo	thinking	real	read	early	amp	business	aren	start	low	trying	building	month	very	learned	advertising	family	put	takes	taken	history	help	actually	event	leave	since	issue	reason	ask	american	mobile	less	pretty	during	x	won	probably	both	else	look	while	government	used	user	showing	game	popular	within	nothing	doesn	e	youtube	go	michael	click	following	products	started	control	links	hit	software	including	him	times	exactly	need	based	course	written	key	problem	well	page	twitter	home	he	stories	piece	star	friends	using	companies	across	likely	even	ever	million	never	call	tell	give	president	third	before	personal	better	weeks	went	side	content	isn	features	matter	seen	seem	don	m	points	stop	bad	said	against	appeared	three	website	make	left	human	yes	yet	deal	down	finally	did	run	making	may	man	maybe	talk	nbsp	group	interesting	earlier	thing	think	first	long	little	anyone	were	especially	show	behind	black	get	nearly	enough	reading	according	those	same	running	money	either	general	again	important	u	starting	fall	public	search	published	two	share	numbers	needs	maps	different	coming	through	someone	everyone	another	house	hard	idea	done	least	part	built	build	services	find	please	point	simple	simply	create	understand	fun	itself	yesterday	source	big	bit	google	often	back	decision	per	others	something	ll	day	text	national	taking	file	almost	ios	center	thought	latest	add	works	biggest	buy	minutes	special	under	every	school	street	york	would	phone	must	me	keep	end	over	writing	each	got	free	days	already	top	too	tool	took	talking	though	watch	amazon	report	however	news	been	quickly	several	social	able	gave	everything	head	check	no	cool	says	goes	water	[	today	local	platform	name	she	turn	place	white	released	any	ideas	sure	state	federal	come	case	good	html	without	seems	blog	there	follow	program	far	fan	list	design	version	known	rather	short	perhaps	might	wouldn	feel	story	kind	added	windows	his	wrote	art	recently	creating	attention	customers	most	called	nice	users	once	issues	apple	app	use	few	women	six	instead	looks	our	g	their	july	which	who	why	watching	words	view	available	gets	percent	other	smart	know	press	because	lead	getting	own	apps	made	whether	book	june
Schneier on Security	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	1	0	0	2	0	0	0	0	6	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	1	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	1	4	0	0	0	0	1	0	0	1	0	1	1	5	0	1	1	0	1	0	0	0
PaulStamatiou.com - Technology, Design and Photography	2	16	11	15	28	43	87	26	5	16	5	16	22	18	5	11	12	6	65	38	11	12	118	13	19	13	51	81	10	57	27	65	15	10	11	30	119	14	12	29	7	52	2	30	45	24	35	6	19	27	3	15	8	2	17	16	51	10	46	67	3	61	53	106	11	2	6	41	47	9	12	8	6	2	3	7	22	2	12	24	14	17	23	3	11	18	20	9	8	22	23	25	39	41	2	2	8	76	19	3	0	51	73	47	5	10	12	0	58	4	22	99	19	17	2	24	15	14	2	44	12	16	12	32	38	23	17	41	40	18	6	7	21	42	9	30	49	4	4	55	4	15	17	78	2	57	98	0	81	24	44	2	9	27	4	5	4	5	8	58	13	73	2	19	88	120	12	138	20	51	26	13	1	82	11	4	1	10	28	141	15	48	12	15	12	5	25	13	12	22	34	11	42	8	29	4	8	5	8	6	3	5	6	0	39	148	27	19	17	49	94	3	21	17	86	13	51	5	5	25	8	22	13	27	32	9	3	16	21	12	12	7	28	32	6	8	43	11	8	8	0	103	21	23	16	90	19	21	29	8	42	51	0	48	107	10	4	10	6	8	32	9	3	39	2	23	9	12	33	14	11	6	10	20	3	22	17	82	18	26	2	9	8	44	70	62	20	13	0	3	1	24	65	4	6	15	58	17	3	22	12	19	11	0	8	34	7	70	8	8	13	77	8	14	8	7	9	94	105	2	9	6	12	1	4	12	20	55	17	0	11	25	7	32	6	25	37	8	31	0	8	14	0	11	19	7	44	42	113	21	21	4	30	5	25	6	3	119	4	18	20	0	43	43	30	7	13	6	21	16	0	13	0	7	48	4	24	26	8	11	2	34	13	40	17	17	37	1	26	21	32	10	49	11	21	12	44	10	26	20	13	36	4	4	9	1	14	26	45	72	23	54	4	22	12	51	87	31	33	0	8	45	12	18	3	21	6	28	19	6	7	11	2	3	38	2	2	4	92	25	16	182	31	50	40	15	45	31	11	16	21	20	57	10	15	20	28	10	45	3	20	15	62	16	26	9	23	6	46	14	9	84	6	5	14	0	25	11	9	4	27	0	8	12	3	4	75	11	34	10	0	27	19	48	32	27	17	91	137	8	3	11	3	15	116	42	3	23	4	4	15	9	11	8	16	13	1	12	7	5	16	13	6	5	59	19	13	65	10	18	23	80	162	90	0	3	30	51	78	6	98	3	57	16	37	2	3	11	8	10	0	74	7	45	3	25	4	32	46	34	29	6	8	2
Search Engine Roundtable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	1	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	3	0	2	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0
Copyblogger	1	2	2	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	8	2	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	10	0	6	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	14	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	10	0	2	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	2	0	0	10	1	1	0	0	0	1	0	0	3	0	7	0	9	1	1	1	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	1	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	10	0	1	1	0	0	0	0	0	1	1	0	0	0	2	0	2	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	1	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	2	0	0	0	0	1	8	0	11	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	1	0	1	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	1	0	0	0	10	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	2	0	0	2	0	10	2	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	1	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	1	2	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0
John Battelle's Search Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	3	0	14	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	0	2	0	5	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	10	0	0	0	1	1	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	15	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	1	1	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	20	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	3	0	0	0	0	0	0	1	0	1	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	21	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	10	0	0	1	0	0	0	0	1	2	4	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0
Engadget RSS Feed	0	0	2	0	0	1	1	1	0	0	2	1	1	1	2	2	1	0	3	1	0	0	1	0	2	0	1	2	1	3	0	0	2	1	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0	1	1	1	1	0	0	0	2	0	2	4	0	2	2	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	2	0	1	8	0	0	2	0	0	0	0	0	0	0	3	2	4	4	0	0	0	3	3	0	0	2	0	0	1	4	4	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	2	0	0	3	0	0	1	0	0	1	0	0	1	1	0	3	0	3	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	0	2	0	0	0	1	0	2	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	1	0	6	0	0	1	0	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	1	0	0	2	1	1	0	0	3	0	0	0	0	0	1	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	1	2	0	0	2	0	1	0	2	0	0	0	0	0	1	1	0	1	2	0	1	0	2	0	0	1	0	2	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	2	0	1	0	2	0	2	2	0	0	3	1	1	0	0	0	1	0	1	1	0	0	2	0	0	2	0	1	0	0	1	2	0	9	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	4	1	0	0	0	0	0	0	1	0	0	0	1	7	0	0	0	1	3	0	0	1	1	1	2	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	5	2	0	1	0	1	0	0	0	2	0	1	0	0	0	0	1	0	1	2	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	4	1	1	2	0	1	0	2	0	0	0	2	2	1	4	2	0	0	0	0	2	2	0	2	0	0	0
TMZ.com	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	4	0	0	0	0	0	0	0	1	1	2	0	2	0	0	11	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	9	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2	0	2	0	0	1	0	0	1	0	0	0	1	1	5	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	3	3	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	2	0	0	0
TUAW: Apple news, reviews and how-tos since 2004 RSS Feed	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	2	2	0	0	1	1	0	2	1	1	0	0	3	1	1	0	0	0	3	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	3	1	1	7	0	3	0	0	0	2	1	4	0	1	5	2	0	0	0	0	1	1	2	0	0	0	0	2	6	0	1	0	0	3	0	0	2	1	0	2	1	0	1	0	1	2	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	2	1	1	1	2	0	0	2	1	0	0	1	0	0	0	2	0	5	0	0	0	1	0	3	0	0	0	0	0	0	4	1	0	3	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	6	0	0	0	0	3	2	0	1	1	2	0	0	3	1	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	3	1	0	0	1	2	0	0	3	1	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	2	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	2	0	0	1	1	0	2	2	0	0	1	1	0	0	4	0	0	0	0	1	0	3	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	1	3	1	0	2	1	0	2	0	1	0	2	2	3	0	0	2	1	0	9	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	3	0	0	0	3	0	1	1	0	1	1	1	0	3	0	1	0	1	1	4	1	0	0	0	1	0	2	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	1	0	0	30	10	3	2	0	0	0	1	2	0	3	4	1	2	0	0	0	0	1	0	0	0	0	1	0	2	0	1	2	7	0	1	0	1
A Consuming Experience (full feed)	0	0	1	0	1	2	12	0	2	0	0	1	0	2	1	0	2	2	8	7	1	1	2	1	0	9	3	12	5	8	7	10	3	0	4	5	15	0	1	0	2	6	0	0	1	2	7	7	0	26	0	0	0	1	3	5	5	1	0	8	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	10	5	0	1	3	3	0	1	3	0	0	1	7	7	9	0	2	0	0	1	11	0	1	6	7	24	1	0	1	0	2	7	3	7	0	1	3	0	3	0	1	0	6	0	16	1	3	0	0	6	7	1	0	0	6	1	10	1	3	0	0	0	12	2	0	3	0	1	18	2	0	0	3	1	0	0	0	2	0	1	0	0	16	0	13	2	0	28	11	3	17	2	0	1	0	0	0	1	0	16	0	0	8	0	14	0	15	1	1	3	2	0	0	0	0	7	1	0	1	6	0	1	0	0	1	0	0	0	14	2	1	0	0	0	0	2	3	2	0	1	0	0	9	0	7	0	1	2	0	0	0	2	4	0	0	2	0	0	1	1	1	2	0	0	0	2	2	0	3	1	2	10	3	6	1	0	6	4	0	0	0	2	2	4	0	0	14	0	15	2	1	1	2	0	2	0	0	0	2	2	13	3	0	1	3	7	8	3	0	0	0	0	0	0	0	15	0	3	1	14	2	0	1	0	0	2	0	1	13	2	3	0	0	0	1	2	0	0	0	2	18	1	0	4	1	0	1	0	0	0	19	9	0	4	2	1	8	0	6	4	1	15	0	0	0	32	0	0	2	2	1	9	3	0	0	3	4	3	0	0	17	0	2	0	0	4	16	7	0	1	2	13	10	0	3	0	0	7	0	4	0	1	0	0	2	0	0	1	0	1	0	1	0	1	4	0	1	0	0	6	5	1	0	0	1	0	0	3	0	3	2	13	0	2	12	0	0	1	3	10	1	4	0	2	13	1	0	0	0	0	22	2	0	0	1	0	3	3	0	0	0	3	0	3	15	5	1	14	0	2	5	6	2	7	7	5	24	2	0	4	2	2	1	5	0	8	2	0	0	1	2	3	0	11	10	0	2	1	0	0	0	0	0	12	0	1	1	0	1	2	0	9	1	0	0	5	2	3	8	8	1	28	0	5	3	0	3	0	24	1	4	2	1	1	3	1	0	1	2	27	0	0	0	1	1	0	0	8	1	0	10	4	5	1	0	22	2	0	0	4	2	0	0	6	0	23	6	5	0	0	5	2	1	0	13	0	2	2	11	1	2	4	0	4	1	0	2
Latest from Crooks and Liars	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	1	0	4	1	0	2	0	0	5	0	3	1	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	2	2	0	0	0	1	0	0	3	0	1	2	0	0	1	0	0	0	0	2	1	0	0	0	1	7	0	0	0	0	1	2	0	1	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	1	1	1	0	0	1	1	1	3	2	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	2	0	1	1	0	1	2	0	1	0	2	0	0	0	1	0	0	0	2	0	0	0	4	4	1	1	3	0	2	2	1	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	4	0	0	0	0	2	0	4	0	0	1	0	1	0	0	1	6	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	3	0	1	0	1	0	1	1	1	0	3	2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	1	0	0	0	0	0	0	16	0	0	0	3	0	0	1	0	3	0	0	1	1	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	4	2	2	1	0	7	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	1	3	0	0	0	0	1	3	1	2	1	3	1	6	0	4	0	0	5	1	1	0	1	3	3	1	0	0	0	0	1	1	2	0	0	0	1	2	0	0	1	0	1	1	0	0	3	3	1	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	7	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	1	3	1	3	0	0	1	13	6	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	0	4	3	0	1	0	0	1	0	3	5	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	1	0	8	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	1	1	0	1	0	2	0	1	7	3	2	1	0	0	1	0	2	0	1	0	5	0	1	1	0	0	1	1	0
